id,latitude,longitude,country,map
1,0.207867,22.677504,COD,"2:p2p 4:c2p"
2,-2.747355,26.668477,COD,"1:p2p 28:p2p 3:p2p 35:s2s"
3,18.852268,19.942949,TCD,"7:c2p 2:p2p 27:p2p 32:c2p 17:s2s"
4,19.480556,11.813189,NER,"1:c2p 9:p2p 21:s2s 22:s2s"
5,15.534423,33.467913,SDN,"28:s2s"
6,-10.377518,18.464811,AGO,"9:p2p 23:c2p 25:c2p"
7,-27.626410,26.372850,ZAF,"3:c2p 11:p2p 9:s2s"
8,-7.677096,34.059168,TZA,"35:c2p"
9,-14.704996,37.384979,MOZ,"7:s2s 4:p2p 6:p2p 23:c2p"
10,9.257868,11.074120,NGA,"21:p2p"
11,16.741306,-8.067769,MRT,"7:p2p 20:c2p 25:s2s"
12,0.799097,36.202468,KEN,"22:p2p"
13,4.931809,46.179901,SOM,"20:c2p"
14,3.457671,14.621652,CMR,"25:p2p"
17,28.434067,-4.241382,DZA,"3:s2s 27:s2s 32:s2s 20:s2s"
19,29.273520,-7.116744,DZA,"34:s2s"
20,5.135324,29.783735,SSD,"11:c2p 13:c2p 17:s2s"
21,9.507172,-0.695102,GHA,"4:s2s 10:p2p"
22,9.696177,-10.183797,GIN,"4:s2s 12:p2p"
23,24.051363,29.112817,EGY,"9:c2p 6:c2p 30:p2p 34:p2p 36:s2s"
25,15.308075,10.710500,NER,"11:s2s 6:c2p 14:p2p"
26,7.231536,23.170402,CAF,"30:c2p 36:c2p"
27,-11.269815,31.796488,ZMB,"3:p2p 32:s2s 17:s2s"
28,-8.910919,37.451367,TZA,"2:p2p 5:s2s"
30,-24.636232,21.828567,BWA,"23:p2p 26:c2p"
32,24.805411,-1.455475,DZA,"3:c2p 27:s2s 17:s2s"
34,-33.028260,18.429779,ZAF,"23:p2p 19:s2s"
35,-29.651084,18.166107,ZAF,"2:s2s 8:c2p"
36,-27.645846,23.615325,ZAF,"23:s2s 26:c2p"
