id,latitude,longitude,country,map
1,24.051363,29.112817,EGY,"2:c2p 4:p2p 9:s2s"
2,-11.269815,31.796488,ZMB,"2:c2p 4:p2p 9:s2s"
3,5.135324,29.783735,SSD,"2:c2p 4:p2p 9:s2s"
4,35.244476,2.367767,DZA,"2:c2p 4:p2p 9:s2s"
5,23.525150,-8.937807,MRT,"2:c2p 4:p2p 9:s2s"
6,24.805411,-1.455475,DZA,"2:c2p 4:p2p 9:s2s"
7,35.244476,2.367767,DZA,"2:c2p 4:p2p 9:s2s"
8,-10.377518,18.464811,AGO,"2:c2p 4:p2p 9:s2s"
9,23.525150,-8.937807,MRT,"2:c2p 4:p2p 9:s2s"
10,0.799097,36.202468,KEN,"2:c2p 4:p2p 9:s2s"
11,-29.651084,18.166107,ZAF,"2:c2p 4:p2p 9:s2s"
12,15.308075,10.710500,NER,"2:c2p 4:p2p 9:s2s"
13,9.696177,-10.183797,GIN,"2:c2p 4:p2p 9:s2s"
14,-2.747355,26.668477,COD,"4:p2p 9:s2s"
15,22.348782,6.059173,DZA,"2:c2p 4:p2p 9:s2s"
16,-33.028260,18.429779,ZAF,"2:c2p 4:p2p 9:s2s"
17,-8.910919,37.451367,TZA,"2:c2p 4:p2p 9:s2s"
18,-11.269815,31.796488,ZMB,"2:c2p 4:p2p 9:s2s"
19,15.308075,10.710500,NER,"2:c2p 4:p2p 9:s2s"
20,-8.910919,37.451367,TZA,"2:c2p 4:p2p 9:s2s"
21,29.940166,7.068375,DZA,"2:c2p 4:p2p 9:s2s"
22,18.852268,19.942949,TCD,"2:c2p 4:p2p 9:s2s"
23,-10.377518,18.464811,AGO,"2:c2p 4:p2p 9:s2s"
24,15.400499,6.205766,NER,"2:c2p 4:p2p 9:s2s"
25,35.244476,2.367767,DZA,"2:c2p 4:p2p 9:s2s"
26,0.799097,36.202468,KEN,"2:c2p 4:p2p 9:s2s"
27,15.308075,10.710500,NER,"2:c2p 4:p2p 9:s2s"
28,19.480556,11.813189,NER,"2:c2p 9:s2s"
29,-2.747355,26.668477,COD,"4:p2p 9:s2s"
30,23.525150,-8.937807,MRT,"2:c2p 4:p2p 9:s2s"
31,15.308075,10.710500,NER,"2:c2p 4:p2p 9:s2s"
32,-27.645846,23.615325,ZAF,"2:c2p 4:p2p 9:s2s"
33,23.525150,-8.937807,MRT,"2:c2p 4:p2p 9:s2s"
34,-33.028260,18.429779,ZAF,"2:c2p 4:p2p 9:s2s"
35,-8.910919,37.451367,TZA,"2:c2p 4:p2p 9:s2s"
36,-32.139593,27.790130,ZAF,"2:c2p 4:p2p 9:s2s"
37,29.273520,-7.116744,DZA,"2:c2p 4:p2p 9:s2s"
38,9.257868,11.074120,NGA,"2:c2p 4:p2p 9:s2s"
39,-24.636232,21.828567,BWA,"2:c2p 4:p2p 9:s2s"
40,-10.377518,18.464811,AGO,"2:c2p 4:p2p 9:s2s"
41,-27.645846,23.615325,ZAF,"2:c2p 4:p2p 9:s2s"
42,-33.028260,18.429779,ZAF,"2:c2p 4:p2p 9:s2s"
43,-14.704996,37.384979,MOZ,"2:c2p 4:p2p"
44,19.480556,11.813189,NER,"2:c2p 9:s2s"
45,-2.747355,26.668477,COD,"4:p2p 9:s2s"
46,28.434067,-4.241382,DZA,"2:c2p 4:p2p 9:s2s"
47,-24.636232,21.828567,BWA,"2:c2p 4:p2p 9:s2s"
48,35.244476,2.367767,DZA,"2:c2p 4:p2p 9:s2s"
49,15.308075,10.710500,NER,"2:c2p 4:p2p 9:s2s"
50,-8.910919,37.451367,TZA,"2:c2p 4:p2p 9:s2s"
51,16.741306,-8.067769,MRT,"2:c2p 4:p2p 9:s2s"
52,-33.028260,18.429779,ZAF,"2:c2p 4:p2p 9:s2s"
53,-33.028260,18.429779,ZAF,"2:c2p 4:p2p 9:s2s"
54,1.595727,12.339872,GAB,"2:c2p 4:p2p 9:s2s"
55,-32.139593,27.790130,ZAF,"2:c2p 4:p2p 9:s2s"
56,-29.651084,18.166107,ZAF,"2:c2p 4:p2p 9:s2s"
57,28.434067,-4.241382,DZA,"2:c2p 4:p2p 9:s2s"
58,-11.269815,31.796488,ZMB,"2:c2p 4:p2p 9:s2s"
59,18.852268,19.942949,TCD,"2:c2p 4:p2p 9:s2s"
60,1.595727,12.339872,GAB,"2:c2p 4:p2p 9:s2s"
61,15.534423,33.467913,SDN,"2:c2p 4:p2p 9:s2s"
62,24.051363,29.112817,EGY,"2:c2p 4:p2p 9:s2s"
63,0.207867,22.677504,COD,"2:c2p 4:p2p 9:s2s"
64,29.273520,-7.116744,DZA,"2:c2p 4:p2p 9:s2s"
65,15.400499,6.205766,NER,"2:c2p 4:p2p 9:s2s"
66,19.480556,11.813189,NER,"2:c2p 9:s2s"
67,28.434067,-4.241382,DZA,"2:c2p 4:p2p 9:s2s"
68,4.931809,46.179901,SOM,"2:c2p 4:p2p 9:s2s"
69,7.231536,23.170402,CAF,"2:c2p 4:p2p 9:s2s"
70,-33.028260,18.429779,ZAF,"2:c2p 4:p2p 9:s2s"
71,-7.677096,34.059168,TZA,"2:c2p 4:p2p 9:s2s"
72,-29.651084,18.166107,ZAF,"2:c2p 4:p2p 9:s2s"
73,4.931809,46.179901,SOM,"2:c2p 4:p2p 9:s2s"
74,-27.645846,23.615325,ZAF,"2:c2p 4:p2p 9:s2s"
75,-7.677096,34.059168,TZA,"2:c2p 4:p2p 9:s2s"
76,22.348782,6.059173,DZA,"2:c2p 4:p2p 9:s2s"
77,22.348782,6.059173,DZA,"2:c2p 4:p2p 9:s2s"
78,15.308075,10.710500,NER,"2:c2p 4:p2p 9:s2s"
79,35.244476,2.367767,DZA,"2:c2p 4:p2p 9:s2s"
80,9.696177,-10.183797,GIN,"2:c2p 4:p2p 9:s2s"
81,-24.636232,21.828567,BWA,"2:c2p 4:p2p 9:s2s"
82,29.273520,-7.116744,DZA,"2:c2p 4:p2p 9:s2s"
83,19.480556,11.813189,NER,"2:c2p 9:s2s"
84,0.207867,22.677504,COD,"2:c2p 4:p2p 9:s2s"
85,23.525150,-8.937807,MRT,"2:c2p 4:p2p 9:s2s"
86,-27.626410,26.372850,ZAF,"2:c2p 4:p2p 9:s2s"
87,16.741306,-8.067769,MRT,"2:c2p 4:p2p 9:s2s"
88,35.244476,2.367767,DZA,"2:c2p 4:p2p 9:s2s"
89,35.244476,2.367767,DZA,"2:c2p 4:p2p 9:s2s"
90,4.931809,46.179901,SOM,"2:c2p 4:p2p 9:s2s"
91,23.525150,-8.937807,MRT,"2:c2p 4:p2p 9:s2s"
92,19.480556,11.813189,NER,"2:c2p 9:s2s"
93,15.534423,33.467913,SDN,"2:c2p 4:p2p 9:s2s"
94,28.434067,-4.241382,DZA,"2:c2p 4:p2p 9:s2s"
95,24.051363,29.112817,EGY,"2:c2p 4:p2p 9:s2s"
96,24.805411,-1.455475,DZA,"2:c2p 4:p2p 9:s2s"
97,35.244476,2.367767,DZA,"2:c2p 4:p2p 9:s2s"
98,-7.677096,34.059168,TZA,"2:c2p 4:p2p 9:s2s"
99,3.457671,14.621652,CMR,"2:c2p 4:p2p 9:s2s"
100,23.525150,-8.937807,MRT,"2:c2p 4:p2p 9:s2s"
101,19.480556,11.813189,NER,"2:c2p 9:s2s"
102,-29.651084,18.166107,ZAF,"2:c2p 4:p2p 9:s2s"
103,-29.651084,18.166107,ZAF,"2:c2p 4:p2p 9:s2s"
104,-27.645846,23.615325,ZAF,"2:c2p 4:p2p 9:s2s"
105,23.525150,-8.937807,MRT,"2:c2p 4:p2p 9:s2s"
